table,field,field_type,next step,
profiles,id,pk,,
,name,text,,
,phone,phone,,
,email,email,,
,role,enum,,
,links to all tables,link,,
,created_by,profile_id,,
,created_on,timestamp,,
,,,,
seller-leads,id,pk,,
,Name,text,should be linked via profile_id,
,Phone,phone,should be linked via profile_id,
,Email,email,should be linked via profile_id,
,Secondary Phone,phone,,
,Status,enum,,
,Drop Reason,enum,,
,Source Listing_URL,text,,
,Source,enum,,
,Created By,user_id,,
,Created On,timestamp,,
,assigned_to,user_id,,
,Building,building_id,should be linked to building_id,
,Notes,text,,
,Referred By,user_id,,
,Follow Up Date,date,,
,is_NRI,boolean,,
,,,,
buildings,id,pk,,
,Name,text,,
,Locality,text,,
,Nearest Landmark,text,,
,Possession,timestamp,,
,Total Floors,number,,
,Total Units,number,,
,Acres,number,,
,Map Link,text,,
,Lat,number,,
,Long,number,,
,Address,computed,,
,Amenities,enum,,
,Water,enum,,
,Khata,text,,
,RERA Number,text,,
,Jumbo Price Estimate,number,,
,created By,user_id,,
,Created At,timestamp,,
,GTM/Name@Housing,text,,
,GTM/Housing ID,text,,
,Under Construction,boolean,,
,Is_ModelFlat_Avl?,boolean,,
,Project Video,media_json,,
,Building Media,media_json,,
,google_rating,number,,
,,,,units
listings,id,pk,,yes
,jumbo_id,text,"<in the format of ""J-100-BuildingName-Config-Floor"" where the number increases by count of 1 automatically",
,building_id,link,should be linked to buildings table,yes
,HID,id,,
,Listing_Slug,text,,
,Home/Configuration,enum,,yes
,Home/Flat No,text,,yes
,Home/Tower,text,,yes
,Home/View,enum,,yes
,Home/Ask_Price (lacs),number/currency,,
,Home/Price psqft,number/currency,,
,Home/MSP,number/currency,,
,Home/Maintenance,number/currency,,
,Home/Area (super-builtup),number,,yes
,Home/Carpet Area,number,,yes
,Home/Floor,number,,yes
,Home/Facing,enum,,yes
,Home/USP_1,enum,,yes
,Home/USP_2,enum,,yes
,Home/USP_3,enum,,yes
,Home/Type,enum,,
,Home/Occupancy,enum,,
,Home/Furnishing,enum,,
,Home/Seller_Fees,number/%,,
,Home/Parking,number,,yes
,Home/Bedroom,number,,yes
,Home/Bathroom,number,,yes
,Home/Balcony,number,,yes
,Home/Keys With,enum,,
,Internal/Created by,profile_id,,
,Internal/Created On,timestamp,,
,Internal/Zone_Lead,profile_id,,
,Internal/Status,enum,,
,Internal/On Hold,boolean,,
,Internal/Sold,boolean,,
,Internal/Sold_By,enum,,
,Internal/Inventory Type,enum,,
,Owner/Owner_ID,profile_id,should link to seller-leads,
,GTM/Jumbo Listing,url,,
,GTM/Website_live_date,timestamp,,
,GTM/Housing URL,url,,
,GTM/99Acres-Listing-URL,url,,
,GTM/Housing-Listing-ID,text,,
,GTM/99Acres-Listing-ID,text,,
,GTM/GTM_Ready?,boolean,,
,Photoshoots/Scheduled,timestamp,,
,Offboarding/DateTime,timestamp,,
,Offboarding/Delisted by,user_id,,
,Home/LPG?,boolean,,
,Tags/Spotlight?,boolean,,
,Tags/Priority,enum,,
,Photoshoots/RTMI,boolean,,
,Photoshoots/Assigned To,user_id,,
,Home/UDS,number,,
,Home/Keys Phone,phone,,
,Internal/Selling Price,number,,
,Internal/Booking Date,timestamp,,
,Internal/Notes,text,,
,Photoshoots/Completed,timestamp,,
,Photoshoots/Availability1,timestamp,,
,Tags/Builder Unit,boolean,,
,Photoshoots/Availability2,timestamp,,
,Internal/Urgency,enum,,
,Internal/MoU Date,timestamp,,
,Photoshoots/Availability3,timestamp,,
,Internal/Source Price,number,,
,GTM/Housing_live_date,timestamp,,
,,,,
home_catalogue,Row ID,pk,,
,Name,text,,
,Inspected On,timestamp,,
,Inspected By,user_id,,
,Media/Thumbnail,computed,,
,Media/Floor Plan,computed,,
,Media/Building_JSON,computed,,
,Media/Listing_JSON,computed,,
,Videos/30Sec,url,,
,Checklist2.0/Cauvery,boolean,,
,Building/Facade,file,,
,Building/Amenities,file,,
,Images/Living Room,file,,
,Images/Kitchen,file,,
,Images/Bedroom 1,file,,
,Images/Bedroom 2,file,,
,Images/Bedroom 3,file,,
,Images/Bedroom 4,file,,
,Images/Bathroom 1,file,,
,Images/Bathroom 2,file,,
,Images/Bathroom 3,file,,
,Images/Bathroom 4,file,,
,Images/Balcony 1,file,,
,Images/Balcony 2,file,,
,Images/Balcony 3,file,,
,Images/Parking,file,,
,Images/Floor Plan,file,,
,Images/Thumbnail,file,,
,Images/Photos_imagine,file,,
,Known Issues/Issue_Images,file,,
,Videos/Walkthrough,file,,
,Cataloguing Score,number,,
,Checklist2.0/Compass_photo,file,,
,Checklist2.0/LuxMeter,file,,
,Checklist2.0/WiFiSpeed,file,,
,Checklist2.0/99AcresScreenshot,file,,
,Checklist2.0/Approach Road,file,,
,Checklist2.0/HousingScreenshot,file,,
,Checklist2.0/30-sec-recording,file,,
,,,,
home_inspection,ID,pk,,
,Name,text,,
,Location,text,,
,Inspected On,timestamp,,
,Inspected By,user_id,,
,Images_JSON,computed,,
,Building_JSON,computed,,
,Date/Inspection-Month,computed,,
,Date/Inspection-Year,computed,,
,Date/Inspection-Week,computed,,
,Images/Video_Link,url,,
,Known Issues/1,enum,,
,Known Issues/2,enum,,
,Known Issues/3,enum,,
,Thumbnail,file,,
,# of attempts,number,,
,Inspection Score,number,,
,Notes,notes,,
,Checklist2.0/Cauvery,boolean,,
,Building/Facade,file,,
,Building/Amenities,file,,
,Images/Living Room,file,,
,Images/Kitchen,file,,
,Images/Bedroom 1,file,,
,Images/Bedroom 2,file,,
,Images/Bedroom 3,file,,
,Images/Bedroom 4,file,,
,Images/Bathroom 1,file,,
,Images/Bathroom 2,file,,
,Images/Bathroom 3,file,,
,Images/Bathroom 4,file,,
,Images/Balcony 1,file,,
,Images/Balcony 2,file,,
,Images/Balcony 3,file,,
,Images/Parking,file,,
,Images/Floor Plan,file,,
,Images/Thumbnail,file,,
,Images/Photos_imagine,file,,
,Known Issues/Issue_Images,file,,
,Videos/Walkthrough,file,,
,Cataloguing Score,number,,
,Checklist2.0/Compass_photo,file,,
,Checklist2.0/LuxMeter,file,,
,Checklist2.0/WiFiSpeed,file,,
,Checklist2.0/99AcresScreenshot,file,,
,Checklist2.0/Approach Road,file,,
,Checklist2.0/HousingScreenshot,file,,
,Checklist2.0/30-sec-recording,file,,
,Images_JSON,url,,
,Building_JSON,url,,
,,,,
leads,ID,pk,,
,Contact/Name,text,,
,Contact/Lead_ID,text,,
,Contact/Email,email,,
,Contact/Phone Input,phone,,
,Contact/Source Listing?,text,,
,Contact/Lead Source,text,,
,Contact/Lead Status,text,,
,Contact/Drop Reason,text,,
,Location/Locality,enum,,
,Dates/Created On,timestamp,,
,Preference/Configuration,enum,,
,Admin,text,,
,assigned_to,profile_id,,
,Preference/Max_Cap,enum,,
,Internal/Notes,text,,
,Internal/Created By,user_id,,
,Preference/Landmark,text,,
,Preference/Property Type,enum,,
,Preference/Floor Preference,enum,,
,Preference/Khata,enum,,
,Preference/Main Door Facing,enum,,
,Preference/Buildings,link,should link to building_id,
,Preference/Must-Haves,enum,,
,Preference/Buy Reason,enum,,
,Contact/Zone,enum,,
,Internal/Pipeline,boolean,,
,Contact/Secondary Number,phone,,
,Contact/Referred By,enum,,
,Test/Listing_ID,text,,
,,,,
visits,ID,pk,,
,Scheduled Date,timestamp,,
,Visitor Name,text,,
,Lead_ID,text,,
,Homes_Visited,text,,
,Status/Visit_status,computed,,
,Status/Visit Completed,boolean,,
,Status/Completed At,timestamp,,
,Status/Visit Canceled,boolean,,
,Internal/Notes,text,,
,Internal/Feedback,text,,
,Internal/BSA_bool,boolean,,
,Contact/Lead-Phone-2,text,,
,OTP/OTP-text,text,,
,Internal/Created On,timestamp,,
,Visited With,enum,,
,Status/Visit Confirmed,boolean,,
,Status/Confirmed At,timestamp,,
,Status/Drop Reason,enum,,
,Internal/Created By,user_id,,
,OTP/Secondary Number,,,
,Status/Canceled At,timestamp,,
,OTP/start_entry,number,,
,OTP/start_entry_time,timestamp,,
,Visit_location,text,,
,Primary Pain Point,enum,,
,Buyer Score,number,,
,Reschedule/Time,timestamp,,
,Reschedule/Boolean,boolean,,
,Fulfillment/Assigned_VA,user_id,,
,Internal/Completed By,user_id,,
,,,,
buyer_events,Lead_ID,text,,
,Phone,phone,,
,Created_on,timestamp,,
,Created_by,user_id,,
,Lead_Source,text,,
,Source_listing_ID,text,,
